block_time,token_id,original_amount
2021-06-15 16:07:00,78000183,0.9
2021-06-15 15:57:00,78000881,0.881
2021-06-15 15:52:00,78000156,0.767
2021-06-15 15:49:00,78000827,0.78
2021-06-15 15:38:00,78000651,1.0
2021-06-15 15:35:00,78000571,0.99
2021-06-15 15:35:00,78000233,0.8
2021-06-15 15:02:00,78000678,1.75
2021-06-15 14:58:00,78000637,1.95
2021-06-15 14:50:00,78000546,1.5
2021-06-15 14:46:00,78000736,0.91
2021-06-15 11:51:00,78000676,1.5
2021-06-15 11:42:00,78000588,2.22
2021-06-15 11:41:00,78000819,1.05
2021-06-15 11:35:00,78000640,1.2366
2021-06-15 11:32:00,78000776,1.25
2021-06-15 11:31:00,78000777,2.4
2021-06-15 01:44:00,78000849,4.0
2021-06-14 23:30:00,78000172,0.9
2021-06-14 23:00:00,78000085,1.0
2021-06-14 22:53:00,78000707,1.15
2021-06-14 22:52:00,78000244,1.4
2021-06-14 22:52:00,78000972,1.28
2021-06-14 22:34:00,78000914,0.85
2021-06-14 22:09:00,78000947,0.78
2021-06-14 22:06:00,78000619,0.7562
2021-06-14 22:05:00,78000925,0.7
2021-06-14 20:43:00,78000991,0.67
2021-06-14 20:38:00,78000665,5.75
2021-06-14 16:38:00,78000980,1.0
2021-06-14 14:56:00,78000084,0.85
2021-06-14 14:33:00,78000471,0.55
2021-06-14 13:18:00,78000489,0.6
2021-06-14 13:00:00,78000159,0.08
2021-06-14 06:49:00,78000078,1.0
2021-06-14 02:39:00,78000672,2.0
2021-06-14 02:25:00,78000997,2.0
2021-06-14 00:13:00,78000626,2.423707546421203
2021-06-14 00:09:00,78000623,3.88
2021-06-13 23:38:00,78000359,2.2222
2021-06-13 23:37:00,78000866,2.0
2021-06-13 22:54:00,78000599,1.4
2021-06-13 18:32:00,78000922,0.8
2021-06-13 17:37:00,78000777,1.2
2021-06-13 15:12:00,78000122,1.05
2021-06-13 12:41:00,78000554,1.0
2021-06-13 12:32:00,78000571,0.76
2021-06-13 11:04:00,78000729,1.5
2021-06-13 04:57:00,78000684,1.684
2021-06-13 04:31:00,78000809,1.1
2021-06-13 03:19:00,78000911,0.99
2021-06-13 02:40:00,78000701,1.0
2021-06-13 01:05:00,78000062,1.25
2021-06-12 23:50:00,78000799,1.0
2021-06-12 23:48:00,78000645,1.5
